X_Value	PIT-A-0101	PIT-A-0301	PIT-M-0101	PIT-O-0301	PIT-W-0301	PDT-M-0101-40kPa	PDT-M-0101B-10kPa	PDT-M-0101C-3kPa	PIT-A-AUX	Model Pressure Drop	TIT-A-0101	TIT-A-0301	TIT-M-0101	TIT-O-0301	TIT-W-0301	LV-O-0X01	LV-W-0X01	LV-M-0X01	Densitometro	FT-A-0301	FT-A-0302	FT-A-0303	FT-A-0303 1	FT-O-0301	FT-O-0302	FT-O-0303	FT-W-0301	FT-W-0302	J Ar	J Agua	Comment	J Ar corrigido	Alpha	rho_g	dP_F/dz PDT-M-0101-40kPa	dP_F/dz dP_dz_total_PDT-M-0101-40kPa	dP_F/dz dP_dz_gravitacional	dP_F/dz PDT-M-0101C-3kPa	dP_F/dz dP_dz_total_PDT-M-0101C-3kPa
806.800000	7.837751	7.867992	0.442691	0.161281	0.737311	-177.405861	2770.940623	77.497606	8.486545	20.516522	30.196257	28.747579	30.892855	29.229131	30.410725	-2.905890	1.484702	0.841936	203894.353692	-0.189158	0.003139	0.599615	0.532998	2.041550	-0.124388	-0.124385	0.000000	1.562563	0.449565	0.200429	nan	0.419557	0.580875	1.653686	-104.356389	156.751306	0.000000	45.586827	83.815898
807.000000	7.837636	7.868073	0.444774	0.160741	0.742508	-170.127212	2770.944556	76.716013	8.488988	20.512217	30.197950	28.747438	30.898243	29.226971	30.410676	-2.905941	1.484981	0.842443	203888.456037	-0.188678	0.003142	0.602499	0.532859	2.041272	-0.124388	-0.124382	0.000000	1.562376	0.448812	0.200405	nan	0.418854	0.580818	1.656046	-100.074831	156.751306	0.000000	45.127066	83.815898
807.200000	7.837891	7.868114	0.446950	0.160424	0.745897	-168.399076	2770.916574	75.589252	8.491502	20.510129	30.199304	28.748275	30.898332	29.230220	30.410267	-2.906147	1.484621	0.842292	203814.615710	-0.185264	0.003067	0.673915	0.532773	2.040742	-0.124386	-0.124384	0.000000	1.562285	0.448065	0.200394	nan	0.418157	0.580113	1.658540	-99.058280	156.751306	0.000000	44.464266	83.815898
807.400000	7.837758	7.867694	0.447466	0.161304	0.743354	-165.855025	2770.891898	74.505377	8.494012	20.510202	30.204029	28.748468	30.897774	29.237932	30.407020	-2.906139	1.485086	0.842090	203718.464398	-0.185406	0.002963	0.716777	0.532788	2.040555	-0.124385	-0.124388	0.000000	1.562288	0.447896	0.200394	nan	0.417999	0.579195	1.659135	-97.561779	156.751306	0.000000	43.826692	83.815898
807.600000	7.837101	7.867311	0.445892	0.162324	0.744244	-155.263280	2771.018995	73.824774	8.496454	20.512057	30.207499	28.750329	30.898470	29.245229	30.401606	-2.906051	1.485898	0.841952	203719.326987	-0.188783	0.003055	0.670967	0.532653	2.041775	-0.124386	-0.124390	0.000000	1.562369	0.448249	0.200404	nan	0.418328	0.579203	1.657326	-91.331341	156.751306	0.000000	43.426338	83.815898
807.800000	7.836478	7.867409	0.445917	0.162936	0.743885	-142.862627	2771.058308	73.747248	8.498738	20.515675	30.205051	28.750777	30.904165	29.246950	30.395964	-2.906074	1.486121	0.841326	203678.758142	-0.188038	0.003244	0.602369	0.532334	2.042908	-0.124388	-0.124395	0.000000	1.562527	0.447985	0.200425	nan	0.418082	0.578815	1.657324	-84.036839	156.751306	0.000000	43.380734	83.815898
808.000000	7.836054	7.867678	0.449210	0.162934	0.739517	-140.334216	2770.974878	74.210673	8.501189	20.517985	30.200892	28.749304	30.913982	29.242245	30.393979	-2.906008	1.486465	0.840929	203500.259765	-0.185030	0.003234	0.556447	0.531795	2.042386	-0.124392	-0.124398	0.000000	1.562627	0.446544	0.200437	nan	0.416737	0.577109	1.661046	-82.549539	156.751306	0.000000	43.653337	83.815898
808.200000	7.836005	7.867810	0.451051	0.162751	0.740318	-142.801784	2770.841825	74.461306	8.503868	20.513775	30.197756	28.749805	30.924207	29.236067	30.396531	-2.905783	1.486110	0.841473	203303.869681	-0.186616	0.003184	0.559076	0.530952	2.041421	-0.124395	-0.124398	0.000000	1.562444	0.445292	0.200414	nan	0.415569	0.575229	1.663101	-84.001049	156.751306	0.000000	43.800768	83.815898
808.400000	7.836301	7.867872	0.449038	0.162615	0.741840	-137.803028	2770.773433	73.801189	8.506217	20.509910	30.195872	28.751204	30.928538	29.234113	30.398223	-2.905721	1.484591	0.842006	203112.786750	-0.188463	0.003204	0.572072	0.530112	2.041140	-0.124391	-0.124395	0.000000	1.562276	0.445213	0.200392	nan	0.415495	0.573399	1.660769	-81.060605	156.751306	0.000000	43.412464	83.815898
808.600000	7.836572	7.867897	0.445758	0.162282	0.739491	-122.801697	2770.768810	72.373143	8.508619	20.512280	30.195366	28.750621	30.927892	29.233695	30.395359	-2.905956	1.483734	0.842037	202894.336292	-0.186475	0.003235	0.537869	0.529778	2.041340	-0.124390	-0.124393	0.000000	1.562379	0.445943	0.200406	nan	0.416176	0.571304	1.657012	-72.236292	156.751306	0.000000	42.572437	83.815898
