***Resultados da Análise***
Data do teste experimental: 2025/02/25
Data tratamento: 13/05/2025
Arquivo Original: example/ID4
Coluna Critério: J Ar
Tamanho Mínimo da Janela: 100.0 segundos
Tamanho Máximo da Janela: 100.0 segundos
Tamanho Ótimo da Janela: 100.0 segundos
Média da Janela: 10.0250
Desvio Padrão: 0.2196
Tempo Inicial: 143.20 segundos
Tempo Final: 243.20 segundos
Número de Pontos: 501
***Dados da Janela***
***End_of_Header***
X_Value	PIT-A-0101	PIT-A-0301	PIT-M-0101	PIT-O-0301	PIT-W-0301	PDT-M-0101-40kPa	PDT-M-0101B-10kPa	PDT-M-0101C-3kPa	PIT-A-AUX	Model Pressure Drop	TIT-A-0101	TIT-A-0301	TIT-M-0101	TIT-O-0301	TIT-W-0301	LV-O-0X01	LV-W-0X01	LV-M-0X01	Densitometro	FT-A-0301	FT-A-0302	FT-A-0303	FT-A-0303 1	FT-O-0301	FT-O-0302	FT-O-0303	FT-W-0301	FT-W-0302	J Ar	J Água	Comment
154.600000	7.607744	7.638008	0.308295	0.170477	0.573139	-273.143459	2703.659633	-132.255977	7.470078	20.578581	30.175762	28.331147	30.946597	29.102732	30.566487	-2.905291	1.486626	0.841093	207054.279520	-0.184459	11.321734	-0.022600	0.000000	2.043738	-0.124339	-0.124343	0.000000	1.565263	10.273459	0.200776	nan
154.800000	7.606681	7.637693	0.308691	0.171406	0.572018	-275.214679	2703.751050	-111.454089	7.468828	20.634180	30.177169	28.334747	30.940989	29.103943	30.560730	-2.905212	1.486673	0.840494	206887.342783	-0.182544	11.321506	-0.022308	0.000000	2.044871	-0.124341	-0.124348	0.000000	1.567678	10.269450	0.201085	nan
155.000000	7.606025	7.637831	0.312389	0.170867	0.572094	-275.029405	2703.710117	-91.430854	7.467720	20.634869	30.171634	28.334135	30.941284	29.097526	30.558981	-2.905084	1.485297	0.840582	206752.601199	-0.185370	11.321745	-0.022087	0.000000	2.045501	-0.124343	-0.124350	0.000000	1.567708	10.240920	0.201089	nan
155.200000	7.606168	7.637680	0.319302	0.169700	0.565570	-292.461356	2703.487824	-73.555989	7.466582	20.615461	30.164828	28.328667	30.942480	29.088245	30.560352	-2.904962	1.485207	0.841043	206541.864165	-0.186866	11.322181	-0.021989	0.000000	2.044632	-0.124345	-0.124348	0.000000	1.566865	10.187676	0.200981	nan
155.400000	7.606179	7.637116	0.324514	0.168817	0.568030	-319.710256	2703.447366	-59.412076	7.465271	20.614798	30.162014	28.325045	30.939359	29.082703	30.563138	-2.904745	1.485340	0.841185	206482.758027	-0.184711	11.322190	-0.022018	0.000000	2.043676	-0.124345	-0.124345	0.000000	1.566836	10.146941	0.200977	nan
155.600000	7.605458	7.636609	0.325227	0.168440	0.575790	-339.362248	2703.543879	-49.887009	7.463944	20.664044	30.161217	28.326053	30.933325	29.083506	30.567315	-2.904750	1.483648	0.841313	206700.137308	-0.182031	11.322196	-0.022108	0.000000	2.043745	-0.124345	-0.124343	0.000000	1.568974	10.140655	0.201252	nan
155.800000	7.605013	7.636351	0.326141	0.168377	0.577587	-346.448953	2703.606598	-44.978516	7.462689	20.747886	30.161183	28.329307	30.926062	29.086095	30.570637	-2.904975	1.482975	0.841416	206982.578628	-0.182092	11.322472	-0.022290	0.000000	2.044336	-0.124347	-0.124340	0.000000	1.572608	10.133251	0.201718	nan
156.000000	7.605256	7.636057	0.330254	0.168146	0.584671	-352.156091	2703.522781	-42.810851	7.461386	20.797662	30.159580	28.331242	30.918251	29.085560	30.572679	-2.904870	1.484007	0.841239	207240.505336	-0.185470	11.322605	-0.022447	0.000000	2.044894	-0.124350	-0.124339	0.000000	1.574763	10.101354	0.201994	nan
156.200000	7.605409	7.635638	0.333390	0.167795	0.594564	-357.312828	2703.264805	-41.856716	7.459885	20.793960	30.154222	28.331485	30.916652	29.082191	30.577155	-2.904492	1.484524	0.841137	207434.604695	-0.187160	11.322899	-0.022345	0.000000	2.045147	-0.124351	-0.124338	0.000000	1.574603	10.077296	0.201974	nan
156.400000	7.605508	7.635321	0.333016	0.167879	0.598063	-349.959209	2703.109684	-41.819323	7.458452	20.776320	30.149686	28.330041	30.920197	29.079619	30.582894	-2.904451	1.484325	0.841689	207492.564565	-0.184579	11.323514	-0.022253	0.000000	2.044882	-0.124348	-0.124336	0.000000	1.573840	10.080469	0.201876	nan
