X_Value	PIT-A-0101	PIT-A-0301	PIT-M-0101	PIT-O-0301	PIT-W-0301	PDT-M-0101-40kPa_mA	PDT-M-0101B-10kPa_mA	PDT-M-0101C-3kPa_mA	PDT-M-0101D-30Kpa_mA	PDT-M-0101D-30Kpa_mA_tara	PIT-A-AUX	Model Pressure Drop	TIT-A-0101	TIT-A-0301	TIT-M-0101	TIT-O-0301	TIT-W-0301	LV-O-0X01	LV-W-0X01	LV-M-0X01	Densitometro	FT-A-0301	FT-A-0302	FT-A-0303	FT-A-0303 1	FT-O-0301	FT-O-0302	FT-O-0303	FT-W-0301	FT-W-0302	J Ar	J Agua	Comment	Alpha	rho_g	dP_F/dz PDT-M-0101-40kPa_mA	dP_F/dz dP_dz_total_PDT-M-0101-40kPa_mA	dP_F/dz dP_dz_gravitacional	dP_F/dz PDT-M-0101D-30Kpa_mA	dP_F/dz dP_dz_total_PDT-M-0101D-30Kpa_mA
153.800000	7.810294	7.840626	1.042346	0.088145	2.998890	-13971.400896	-10941.981026	-2985.014047	-13149.340494	-13596.443040	8.193115	949.135418	23.097962	22.819671	25.505885	23.386604	23.009244	-2.909783	0.850489	0.978864	199114.261876	-0.188085	11.547750	-0.061596	0.000000	2.029745	-0.124448	-0.124453	13.991309	-0.014936	6.873870	1.792743	nan	0.534698	2.383876	4529.700472	-1204.482292	3226.558529	4288.342445	-957.770460
154.000000	7.809126	7.840183	1.038576	0.089466	3.001633	-13981.102506	-10941.924008	-2984.983713	-13137.124291	-13584.226838	8.196280	950.556413	23.104415	22.820717	25.502063	23.389347	22.998572	-2.909736	0.850103	0.978578	199075.217892	-0.188336	11.547417	-0.062039	0.000000	2.030263	-0.124444	-0.124453	14.002387	-0.014061	6.885931	1.794276	nan	0.534316	2.379503	4538.020795	-1204.482292	3229.178951	4283.776864	-957.770460
154.200000	7.808187	7.839837	1.036191	0.090993	2.983716	-14013.702983	-10942.642444	-2985.252548	-13149.674254	-13596.776800	8.199645	950.953047	23.107252	22.821733	25.498215	23.387247	22.989067	-2.909758	0.847301	0.978095	199033.530040	-0.189440	11.547597	-0.062299	0.000000	2.031295	-0.124444	-0.124451	14.005473	-0.013812	6.893725	1.794704	nan	0.533909	2.376748	4559.995928	-1204.482292	3231.984307	4293.964551	-957.770460
154.400000	7.807657	7.839527	1.035937	0.091459	2.960311	-14040.189815	-10943.487070	-2985.563233	-13178.040885	-13625.143432	8.202970	950.769453	23.108290	22.821210	25.499991	23.382622	22.988995	-2.909919	0.845117	0.978281	199032.014531	-0.189918	11.548115	-0.062203	0.000000	2.032166	-0.124451	-0.124452	14.004444	-0.014326	6.894706	1.794506	nan	0.533894	2.376437	4575.679234	-1204.482292	3232.083904	4310.750403	-957.770460
154.600000	7.807756	7.839418	1.038044	0.091138	2.944205	-14044.847243	-10943.007633	-2985.882748	-13201.380607	-13648.483154	8.206249	949.726639	23.108465	22.819934	25.502937	23.378900	22.995141	-2.910037	0.844614	0.978552	199075.363138	-0.189777	11.548756	-0.061920	0.000000	2.032824	-0.124457	-0.124450	13.996042	-0.014695	6.887969	1.793381	nan	0.534318	2.378875	4575.506419	-1204.482292	3229.166086	4321.561833	-957.770460
154.800000	7.807968	7.839287	1.041460	0.090069	2.944035	-14029.013442	-10942.281418	-2985.779619	-13194.897980	-13642.000527	8.209456	947.658955	23.107584	22.819194	25.500541	23.383329	22.997613	-2.910154	0.846263	0.978978	199115.031582	-0.189379	11.549264	-0.061902	0.000000	2.032765	-0.124453	-0.124446	13.978304	-0.014359	6.876600	1.791149	nan	0.534706	2.382884	4563.529437	-1204.482292	3226.507448	4315.089885	-957.770460
155.000000	7.807371	7.839056	1.044568	0.089632	2.961643	-13995.204064	-10941.973524	-2985.422701	-13161.033692	-13608.136239	8.212777	947.155999	23.106580	22.819786	25.495700	23.392059	22.993672	-2.910214	0.848314	0.979300	199109.284446	-0.188864	11.549559	-0.061946	0.000000	2.032290	-0.124446	-0.124453	13.973395	-0.013685	6.866009	1.790606	nan	0.534649	2.386553	4544.038079	-1204.482292	3226.912732	4295.574999	-957.770460
155.200000	7.806377	7.838814	1.045913	0.091363	2.987149	-13966.344373	-10942.184326	-2985.333651	-13124.779646	-13571.882192	8.216274	949.156705	23.105274	22.821954	25.496412	23.393930	22.988589	-2.910144	0.848570	0.978325	199066.056669	-0.188529	11.549588	-0.061809	0.000000	2.033140	-0.124446	-0.124464	13.989888	-0.013336	6.861287	1.792766	nan	0.534227	2.388118	4529.983970	-1204.482292	3229.833621	4277.169979	-957.770460
155.400000	7.806102	7.838149	1.044369	0.093696	3.001245	-13962.766845	-10942.474104	-2985.500609	-13108.625186	-13555.727732	8.219554	950.855694	23.103880	22.823857	25.505553	23.387956	22.987072	-2.909833	0.845605	0.977209	199032.795198	-0.188267	11.549380	-0.061771	0.000000	2.034862	-0.124454	-0.124465	14.004362	-0.013519	6.865996	1.794599	nan	0.533901	2.386241	4530.125331	-1204.482292	3232.062843	4269.896578	-957.770460
155.600000	7.806338	7.837398	1.040312	0.093980	2.996878	-13975.109194	-10941.483777	-2985.905485	-13118.180192	-13565.282739	8.222589	951.938546	23.101621	22.823110	25.514956	23.380380	22.989336	-2.909590	0.841551	0.977242	199032.204476	-0.188722	11.549571	-0.061414	0.000000	2.035645	-0.124458	-0.124459	14.013898	-0.013953	6.879419	1.795767	nan	0.533896	2.381427	4537.416665	-1204.482292	3232.076924	4275.531250	-957.770460
155.800000	7.806209	7.837311	1.037025	0.092116	2.979835	-13988.128185	-10941.004801	-2985.871953	-13142.043552	-13589.146098	8.225690	952.846189	23.096510	22.819638	25.515810	23.376897	22.993090	-2.909636	0.841831	0.977690	199057.421261	-0.189143	11.550402	-0.060945	0.000000	2.035154	-0.124457	-0.124453	14.022005	-0.014434	6.891058	1.796745	nan	0.534142	2.377581	4543.360248	-1204.482292	3230.360729	4287.852325	-957.770460
156.000000	7.805830	7.837337	1.037434	0.090362	2.959573	-13998.880803	-10941.821684	-2985.027872	-13164.476923	-13611.579470	8.228732	952.924527	23.093187	22.817427	25.510228	23.378022	22.996288	-2.909707	0.845691	0.978040	199107.333480	-0.187955	11.551313	-0.061395	0.000000	2.033989	-0.124455	-0.124450	14.023133	-0.014904	6.890160	1.796829	nan	0.534630	2.378104	4546.315190	-1204.482292	3227.000722	4297.688419	-957.770460
156.200000	7.805489	7.837012	1.040796	0.090032	2.946997	-14003.472853	-10942.997079	-2984.520328	-13174.830669	-13621.933215	8.231574	952.740981	23.095604	22.819010	25.506562	23.380670	22.998765	-2.909710	0.847747	0.978526	199163.487201	-0.187063	11.551676	-0.061876	0.000000	2.033432	-0.124459	-0.124453	14.021963	-0.015275	6.878643	1.796632	nan	0.535179	2.382060	4545.240878	-1204.482292	3223.231851	4300.009987	-957.770460
156.400000	7.805102	7.836735	1.042823	0.090383	2.952425	-13998.486162	-10943.999284	-2984.788347	-13168.721878	-13615.824425	8.234535	952.614731	23.097457	22.820659	25.509369	23.380244	23.000058	-2.909712	0.847685	0.978557	199196.170603	-0.187567	11.551256	-0.061517	0.000000	2.034516	-0.124462	-0.124458	14.021309	-0.015683	6.871373	1.796495	nan	0.535499	2.384405	4540.115505	-1204.482292	3221.034736	4294.219466	-957.770460
156.600000	7.804992	7.836671	1.040419	0.090271	2.975160	-14002.594821	-10943.692758	-2985.097934	-13162.963732	-13610.066279	8.237792	953.451787	23.091769	22.820234	25.516883	23.374989	23.003199	-2.909651	0.848560	0.978517	199206.703833	-0.187912	11.550911	-0.061222	0.000000	2.036173	-0.124460	-0.124456	14.028714	-0.016056	6.879404	1.797397	nan	0.535601	2.381537	4541.818951	-1204.482292	3220.307700	4290.105285	-957.770460
156.800000	7.805354	7.836735	1.036642	0.089582	2.992614	-14024.903074	-10942.454225	-2985.456242	-13181.770457	-13628.873004	8.241157	953.787213	23.082959	22.818677	25.520685	23.370528	23.008022	-2.909472	0.849452	0.978616	199211.104004	-0.188701	11.551294	-0.061183	0.000000	2.035325	-0.124461	-0.124452	14.031578	-0.016104	6.892573	1.797759	nan	0.535644	2.377095	4554.632034	-1204.482292	3219.991386	4300.851750	-957.770460
157.000000	7.805407	7.836520	1.036011	0.089158	2.987301	-14042.195273	-10940.611778	-2985.824792	-13211.736735	-13658.839282	8.244368	952.004126	23.082103	22.817163	25.513587	23.369943	23.008912	-2.909380	0.849078	0.978603	199213.582416	-0.189898	11.551731	-0.061200	0.000000	2.032163	-0.124460	-0.124447	14.016352	-0.015856	6.894674	1.795837	nan	0.535669	2.376415	4564.627430	-1204.482292	3219.827772	4318.315359	-957.770460
