***Resultados da Análise***
Data do teste experimental: 2025/02/25
Data tratamento: 16/05/2025
Arquivo Original: example/ID4
Coluna Critério: J Água
Tamanho Mínimo da Janela: 100.0 segundos
Tamanho Máximo da Janela: 150.0 segundos
Tamanho Ótimo da Janela: 100.0 segundos
Média da Janela: 0.2000
Desvio Padrão: 0.0007
Tempo Inicial: 171.20 segundos
Tempo Final: 271.20 segundos
Número de Pontos: 501
***Dados da Janela***
***End_of_Header***
X_Value	PIT-A-0101	PIT-A-0301	PIT-M-0101	PIT-O-0301	PIT-W-0301	PDT-M-0101-40kPa	PDT-M-0101B-10kPa	PDT-M-0101C-3kPa	PIT-A-AUX	Model Pressure Drop	TIT-A-0101	TIT-A-0301	TIT-M-0101	TIT-O-0301	TIT-W-0301	LV-O-0X01	LV-W-0X01	LV-M-0X01	Densitometro	FT-A-0301	FT-A-0302	FT-A-0303	FT-A-0303 1	FT-O-0301	FT-O-0302	FT-O-0303	FT-W-0301	FT-W-0302	J Ar	J Água	Comment
176.400000	7.579537	7.608611	0.370350	0.169137	0.687976	-402.585221	2706.691790	70.752330	7.335383	20.433422	30.180266	28.332418	30.858090	29.100381	30.570737	-2.905315	1.484861	0.842067	208869.888585	-0.187513	11.331453	-0.022857	0.000000	2.044420	-0.124339	-0.124343	0.000000	1.558944	9.780112	0.199965	nan
176.600000	7.578801	7.608160	0.374579	0.170096	0.677197	-407.084552	2706.719568	64.143620	7.334084	20.436860	30.176258	28.331039	30.863116	29.100664	30.569674	-2.905190	1.484613	0.841764	208870.679777	-0.187544	11.331206	-0.022613	0.000000	2.045143	-0.124340	-0.124348	0.000000	1.559094	9.749491	0.199984	nan
176.800000	7.578400	7.608311	0.378017	0.170182	0.669857	-400.866029	2706.674661	55.980230	7.332785	20.435084	30.167186	28.330213	30.876642	29.097583	30.572722	-2.904987	1.484445	0.841493	208962.086311	-0.184602	11.331342	-0.022568	0.000000	2.045201	-0.124341	-0.124349	0.000000	1.559016	9.725910	0.199974	nan
177.000000	7.578429	7.608395	0.380662	0.170171	0.660812	-387.828141	2706.649870	47.459609	7.331677	20.437317	30.160237	28.329257	30.889374	29.093180	30.574261	-2.905048	1.484642	0.841650	209373.269659	-0.183716	11.331764	-0.022448	0.000000	2.044711	-0.124344	-0.124347	0.000000	1.559114	9.708165	0.199987	nan
177.200000	7.578358	7.608062	0.382748	0.170406	0.647431	-378.379667	2706.693496	39.284517	7.330563	20.444113	30.161154	28.327854	30.893177	29.089699	30.570963	-2.905134	1.484957	0.842162	209849.435912	-0.186362	11.331894	-0.022362	0.000000	2.044290	-0.124346	-0.124345	0.000000	1.559410	9.693418	0.200025	nan
177.400000	7.577860	7.607796	0.384743	0.170039	0.643216	-369.778891	2706.814942	31.499024	7.329219	20.447663	30.165259	28.329349	30.891794	29.087754	30.567113	-2.905139	1.484528	0.842362	210248.190192	-0.187002	11.331476	-0.022485	0.000000	2.044384	-0.124345	-0.124343	0.000000	1.559564	9.678701	0.200045	nan
177.600000	7.577057	7.607830	0.387172	0.169043	0.642003	-361.032807	2706.840360	24.718102	7.327900	20.442078	30.165054	28.331497	30.897384	29.085011	30.567819	-2.905167	1.483892	0.842187	210689.719890	-0.183873	11.331358	-0.022485	0.000000	2.044484	-0.124346	-0.124344	0.000000	1.559321	9.661793	0.200013	nan
177.800000	7.576562	7.607803	0.388120	0.168319	0.638169	-351.830608	2706.731662	18.747797	7.326700	20.422828	30.159244	28.331214	30.910727	29.081807	30.574309	-2.905063	1.483716	0.842056	211001.068731	-0.183490	11.331610	-0.022341	0.000000	2.044359	-0.124347	-0.124341	0.000000	1.558482	9.655810	0.199906	nan
178.000000	7.576995	7.607491	0.386326	0.168253	0.643654	-333.130173	2706.532975	12.981821	7.325359	20.387573	30.151689	28.328609	30.922830	29.080548	30.583875	-2.904843	1.483483	0.841885	211123.369324	-0.187359	11.331592	-0.022347	0.000000	2.044189	-0.124349	-0.124337	0.000000	1.556944	9.668411	0.199708	nan
178.200000	7.577511	7.606991	0.384820	0.167809	0.652461	-305.498336	2706.369181	7.902263	7.324042	20.353912	30.149761	28.327055	30.930289	29.081814	30.590072	-2.904724	1.483231	0.841686	211187.944952	-0.188945	11.331564	-0.022471	0.000000	2.043974	-0.124350	-0.124335	0.000000	1.555474	9.678633	0.199520	nan
