***Resultados da Análise***
Data do teste experimental: 2025/05/14
Data tratamento: 23/05/2025
Arquivo Original: example/FSC2_Agua_Ar_Downward_45_graus/ID15
Coluna Critério: Densitometro
Tamanho Mínimo da Janela: 100.0 segundos
Tamanho Máximo da Janela: 200.0 segundos
Tamanho Ótimo da Janela: 103.0 segundos
Média da Janela: 155742.7476
Desvio Padrão: 14.9659
Tempo Inicial: 200.20 segundos
Tempo Final: 302.60 segundos
Número de Pontos: 513
***Estatísticas das variáveis na janela***
Variável: Média | Desvio padrão | Incerteza tipo A
PIT-M-0101: 0.410660 | 0.004145 | 0.000183
PDT-M-0101-40kPa_mA: -1932.383181 | 43.135564 | 1.904482
PDT-M-0101B-10kPa_mA: -2233.559877 | 43.799378 | 1.933790
PDT-M-0101C-3kPa_mA: -1779.766319 | 38.957137 | 1.720000
PDT-M-0101D-30Kpa_mA: -1379.170337 | 40.188354 | 1.774359
PDT-M-0101D-30Kpa_mA_tara: -1826.272884 | 40.188354 | 1.774359
TIT-M-0101: 25.127499 | 0.005336 | 0.000236
Densitometro: 155742.747588 | 14.965867 | 0.660759
J Ar: 3.167244 | 0.009270 | 0.000409
J Água: 1.800324 | 0.004862 | 0.000215
***Dados da Janela***
***End_of_Header***
X_Value	PIT-A-0101	PIT-A-0301	PIT-M-0101	PIT-O-0301	PIT-W-0301	PDT-M-0101-40kPa_mA	PDT-M-0101B-10kPa_mA	PDT-M-0101C-3kPa_mA	PDT-M-0101D-30Kpa_mA	PDT-M-0101D-30Kpa_mA_tara	PIT-A-AUX	Model Pressure Drop	TIT-A-0101	TIT-A-0301	TIT-M-0101	TIT-O-0301	TIT-W-0301	LV-O-0X01	LV-W-0X01	LV-M-0X01	Densitometro	FT-A-0301	FT-A-0302	FT-A-0303	FT-A-0303 1	FT-O-0301	FT-O-0302	FT-O-0303	FT-W-0301	FT-W-0302	J Ar	J Água	Comment
204.800000	7.416321	7.447002	0.404669	0.074936	1.924510	-1950.213113	-2257.073063	-1785.502394	-1392.524082	-1839.626629	9.350160	949.046268	19.787821	21.704483	25.126999	21.702228	22.610958	-2.911103	0.816904	0.971641	155744.219977	-0.202423	3.838157	-0.073256	0.000000	2.029897	-0.124497	-0.124490	13.991589	-0.015966	3.182444	1.792647	nan
205.000000	7.416943	7.447359	0.408281	0.074870	1.926282	-1965.175457	-2271.013194	-1799.188725	-1405.355080	-1852.457626	9.352754	949.682668	19.786656	21.703297	25.127857	21.697443	22.617261	-2.911025	0.817892	0.970590	155734.097375	-0.201706	3.838320	-0.073218	0.000000	2.029347	-0.124495	-0.124486	13.997657	-0.016680	3.174571	1.793334	nan
205.200000	7.416854	7.447565	0.411600	0.074749	1.926899	-1964.992740	-2270.748338	-1804.631152	-1409.467188	-1856.569735	9.355249	947.700865	19.785773	21.702322	25.125767	21.694225	22.625373	-2.910773	0.817313	0.970638	155737.470042	-0.201783	3.838576	-0.073136	0.000000	2.029100	-0.124490	-0.124482	13.981418	-0.017120	3.167381	1.791194	nan
205.400000	7.416600	7.447357	0.410908	0.074029	1.926263	-1947.429290	-2254.411459	-1800.030464	-1403.105289	-1850.207836	9.357506	946.876593	19.783793	21.702578	25.121425	21.698146	22.626610	-2.910613	0.816330	0.971208	155739.849075	-0.202399	3.838442	-0.073034	0.000000	2.028714	-0.124489	-0.124483	13.974229	-0.016873	3.168696	1.790304	nan
205.600000	7.416477	7.446982	0.408650	0.073724	1.924431	-1918.556430	-2227.975146	-1784.162471	-1381.323624	-1828.426171	9.359108	948.783536	19.782941	21.704486	25.123562	21.705792	22.620828	-2.910794	0.817975	0.971290	155743.400717	-0.202062	3.838094	-0.073010	0.000000	2.028153	-0.124487	-0.124490	13.989587	-0.016175	3.173352	1.792363	nan
205.800000	7.416403	7.446780	0.407047	0.075004	1.923177	-1888.928213	-2199.757651	-1762.223638	-1349.463024	-1796.565571	9.358334	950.561601	19.784571	21.706813	25.127798	21.707812	22.615472	-2.911044	0.819023	0.971357	155751.826579	-0.200836	3.837945	-0.073047	0.000000	2.029565	-0.124485	-0.124492	14.004087	-0.015717	3.176787	1.794282	nan
206.000000	7.416566	7.446726	0.405935	0.075838	1.922305	-1872.265290	-2181.776481	-1744.817359	-1331.103922	-1778.206469	9.354411	950.847926	19.785788	21.706462	25.126925	21.700567	22.614993	-2.910852	0.816214	0.971105	155745.140822	-0.200443	3.838035	-0.073039	0.000000	2.030986	-0.124487	-0.124492	14.006438	-0.015661	3.179351	1.794591	nan
206.200000	7.416599	7.446699	0.407536	0.074858	1.924295	-1879.507105	-2182.174119	-1740.206169	-1337.888715	-1784.991262	9.349777	951.470473	19.785912	21.703456	25.126711	21.691191	22.617557	-2.910484	0.815380	0.970905	155734.280156	-0.201472	3.838084	-0.072954	0.000000	2.029807	-0.124492	-0.124493	14.011885	-0.015874	3.175794	1.795262	nan
206.400000	7.416745	7.446525	0.413070	0.073574	1.927094	-1903.128823	-2195.862916	-1746.688666	-1354.232193	-1801.334740	9.346124	953.375597	19.785875	21.701885	25.128327	21.689287	22.619488	-2.910594	0.817426	0.971206	155738.596994	-0.202331	3.838167	-0.073026	0.000000	2.028104	-0.124495	-0.124490	14.028272	-0.016254	3.163389	1.797315	nan
206.600000	7.417240	7.446346	0.419376	0.073669	1.928415	-1919.388274	-2209.958926	-1753.675328	-1360.832325	-1807.934872	9.342478	954.840768	19.787877	21.704583	25.126679	21.695727	22.620072	-2.910981	0.819280	0.971408	155745.287304	-0.202096	3.838339	-0.073299	0.000000	2.027638	-0.124495	-0.124484	14.040678	-0.016359	3.149354	1.798893	nan
